City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Upernavik,GL,72.79,-56.15,17.37,94,100,7.87,overcast clouds
83,Hithadhoo,MV,-0.6,73.08,83.01,72,9,4.83,clear sky
84,Kahului,US,20.89,-156.47,91.4,46,40,9.17,scattered clouds
85,Port Lincoln,AU,-34.73,135.87,58.75,52,61,11.27,broken clouds
86,Mango,US,27.98,-82.31,72.0,68,1,11.07,clear sky
87,Codajas,BR,-3.84,-62.06,76.77,94,100,2.46,moderate rain
88,Thompson,CA,55.74,-97.86,32.0,98,90,10.29,overcast clouds
89,Bluff,NZ,-46.6,168.33,57.0,81,100,14.0,overcast clouds
90,Kuala Lipis,MY,4.18,102.05,80.82,79,99,0.69,overcast clouds
91,Chuy,UY,-33.7,-53.46,57.29,81,0,9.78,clear sky
92,Jacmel,HT,18.23,-72.53,77.25,76,100,2.89,overcast clouds
93,Mar Del Plata,AR,-38.0,-57.56,61.0,77,0,16.11,clear sky
94,Bonavista,CA,48.65,-53.11,30.0,79,13,9.17,few clouds
95,Fairbanks,US,64.84,-147.72,-15.0,68,20,0.85,few clouds
96,Necochea,AR,-38.55,-58.74,61.0,69,100,15.01,overcast clouds
97,Anadyr,RU,64.75,177.48,35.6,93,75,29.08,broken clouds
98,Georgetown,MY,5.41,100.34,82.4,88,20,4.7,few clouds
99,Eyl,SO,7.98,49.82,75.22,72,20,10.87,few clouds
100,Tiksi,RU,71.69,128.87,1.96,94,100,4.56,overcast clouds
101,Nome,US,64.5,-165.41,33.8,59,90,17.22,overcast clouds
102,Kruisfontein,ZA,-34.0,24.73,66.0,93,100,3.0,overcast clouds
103,Provideniya,RU,64.38,-173.3,39.2,80,90,22.37,overcast clouds
104,Bodden Town,KY,19.28,-81.25,78.8,88,40,8.05,scattered clouds
105,Owando,CG,-0.48,15.9,70.23,99,96,2.98,overcast clouds
106,Sur,OM,22.57,59.53,69.37,46,0,4.74,clear sky
107,The Valley,AI,18.22,-63.06,82.0,74,40,12.75,scattered clouds
108,Kutum,SD,14.2,24.67,65.25,31,0,12.44,clear sky
109,Port Moresby,PG,-9.44,147.18,87.8,58,75,23.04,broken clouds
110,Sobolevo,RU,54.43,31.9,44.92,94,100,8.97,light rain
111,Atar,MR,20.52,-13.05,79.25,17,0,2.98,clear sky
112,Carnarvon,AU,-24.87,113.63,77.0,78,0,14.99,clear sky
113,Novyy Nekouz,RU,57.9,38.07,44.22,91,100,8.99,overcast clouds
114,Black River,JM,18.03,-77.85,78.01,88,90,2.24,overcast clouds
115,Namatanai,PG,-3.67,152.43,84.34,72,99,12.12,moderate rain
116,Kawalu,ID,-7.38,108.21,83.17,66,99,3.02,overcast clouds
117,Rancho Palos Verdes,US,33.74,-118.39,69.01,60,5,13.87,clear sky
118,La Ronge,CA,55.1,-105.28,28.4,63,6,11.41,clear sky
119,Hilo,US,19.73,-155.09,86.0,55,20,11.41,few clouds
120,Tazovskiy,RU,67.47,78.7,-2.72,92,72,7.74,broken clouds
121,Haapsalu,EE,58.94,23.54,46.99,88,100,15.01,overcast clouds
122,Olafsvik,IS,64.89,-23.71,43.03,75,100,17.65,overcast clouds
123,Haines Junction,CA,60.75,-137.51,3.2,71,70,4.7,broken clouds
124,East London,ZA,-33.02,27.91,67.75,85,99,7.63,light rain
125,Afyonkarahisar,TR,38.75,30.67,44.51,80,100,10.8,overcast clouds
126,Vao,NC,-22.67,167.48,73.15,82,2,7.09,clear sky
127,Wagar,SD,16.15,36.2,73.36,78,0,13.02,clear sky
128,Svetlogorsk,BY,52.63,29.73,44.37,95,100,7.27,light rain
129,Cidreira,BR,-30.18,-50.21,59.63,69,17,6.67,few clouds
130,Hay River,CA,60.82,-115.8,10.4,85,15,4.7,few clouds
131,Valparaiso,CL,-33.04,-71.63,51.8,93,0,3.36,clear sky
132,Mantua,IT,45.17,10.78,57.0,93,40,1.88,scattered clouds
133,Vallenar,CL,-28.57,-70.76,56.89,72,100,1.54,overcast clouds
134,Cape Town,ZA,-33.93,18.42,68.0,77,20,13.87,few clouds
135,Vostok,RU,46.49,135.88,28.2,76,0,13.09,clear sky
136,Aswan,EG,24.09,32.91,63.68,50,0,8.93,clear sky
137,Muros,ES,42.78,-9.06,53.01,65,94,7.0,overcast clouds
138,Palu,ID,-0.89,119.87,91.27,50,91,2.26,overcast clouds
139,Linfen,CN,36.09,111.52,59.45,38,100,2.53,overcast clouds
140,Ponta Do Sol,PT,32.67,-17.1,60.8,72,40,9.17,scattered clouds
141,Broome,US,42.25,-75.83,53.6,40,1,10.29,clear sky
142,New Norfolk,AU,-42.78,147.06,60.01,48,100,4.0,overcast clouds
