City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Sassandra,CI,2020-11-04 03:21:14,4.95,-6.08,77.36,88,1,2.93
70,Yerbogachen,RU,2020-11-04 03:14:50,61.28,108.01,19.72,95,99,9.6
71,Boyolangu,ID,2020-11-04 03:15:32,-8.12,111.89,85.78,61,18,5.99
72,Padang,ID,2020-11-04 03:14:08,-0.95,100.35,78.66,74,100,4.61
73,Kabo,CF,2020-11-04 03:21:15,7.7,18.63,74.62,61,71,1.28
74,Goderich,CA,2020-11-04 03:19:45,43.75,-81.72,50.0,57,0,12.75
75,Ulladulla,AU,2020-11-04 03:14:38,-35.35,150.47,80.6,47,0,11.41
76,Bengkulu,ID,2020-11-04 03:14:45,-3.8,102.27,83.37,66,76,3.02
77,New Norfolk,AU,2020-11-04 03:12:58,-42.78,147.06,71.6,40,75,18.34
78,Verkh-Usugli,RU,2020-11-04 03:21:15,52.7,115.17,25.16,83,21,1.9
79,Richards Bay,ZA,2020-11-04 03:21:16,-28.78,32.04,70.27,85,23,7.45
80,Saint-Augustin,CA,2020-11-04 03:21:16,51.23,-58.65,24.87,79,33,11.25
81,Koutsouras,GR,2020-11-04 03:21:16,35.03,25.95,69.01,66,100,11.01
82,Salalah,OM,2020-11-04 03:11:07,17.02,54.09,69.8,56,0,3.36
83,Safaga,EG,2020-11-04 03:21:16,26.73,33.94,69.8,49,0,9.17
84,Marshall,US,2020-11-04 03:21:16,34.38,-86.33,48.0,75,1,1.12
85,Sisimiut,GL,2020-11-04 03:21:17,66.94,-53.67,32.13,97,100,67.82
86,Belaya Gora,RU,2020-11-04 03:15:54,68.53,146.42,-14.08,81,0,4.63
87,Georgetown,MY,2020-11-04 03:10:00,5.41,100.34,80.6,78,20,3.36
88,Kemin,KG,2020-11-04 03:21:17,42.78,75.69,43.93,50,55,2.42
89,Neryungri,RU,2020-11-04 03:18:26,56.67,124.65,17.01,92,99,10.94
90,Baymak,RU,2020-11-04 03:21:18,52.59,58.32,32.77,94,0,3.6
91,Belen,TR,2020-11-04 03:21:18,36.49,36.22,57.2,100,75,1.12
92,Nikolskoye,RU,2020-11-04 03:14:36,59.7,30.79,46.4,87,75,6.71
93,Bud,US,2020-11-04 03:15:12,39.45,-86.18,53.01,57,1,4.7
94,Tura,IN,2020-11-04 03:15:13,25.52,90.22,75.7,55,0,1.99
95,Qaanaaq,GL,2020-11-04 03:21:18,77.48,-69.36,-0.58,78,68,1.39
96,Severo-Kurilsk,RU,2020-11-04 03:14:45,50.68,156.12,41.63,72,3,14.16
97,Zeya,RU,2020-11-04 03:15:42,53.75,127.27,20.21,79,21,5.17
98,Laguna,US,2020-11-04 03:20:57,38.42,-121.42,64.0,45,1,3.36
99,Novikovo,RU,2020-11-04 03:15:34,51.15,37.89,44.28,91,0,2.04
100,Notse,TG,2020-11-04 03:21:19,6.95,1.17,74.16,93,9,3.62
101,Armidale,AU,2020-11-04 03:21:19,-30.52,151.65,72.0,44,3,3.0
102,Leningradskiy,RU,2020-11-04 03:14:42,69.38,178.42,4.39,84,15,12.39
103,Havre-Saint-Pierre,CA,2020-11-04 03:15:57,50.23,-63.6,17.6,67,1,5.82
104,Trairi,BR,2020-11-04 03:21:20,-3.28,-39.27,79.99,77,100,9.33
105,Victoria,HK,2020-11-04 03:12:05,22.29,114.16,77.0,53,37,10.0
106,Ruthin,GB,2020-11-04 03:21:20,53.11,-3.32,41.0,97,4,1.01
107,Nuuk,GL,2020-11-04 03:15:53,64.18,-51.72,33.8,74,71,39.15
108,Whitehorse,CA,2020-11-04 03:17:18,60.72,-135.05,3.2,77,75,3.36
109,Carnarvon,AU,2020-11-04 03:14:41,-24.87,113.63,86.0,27,0,14.99
110,Vao,NC,2020-11-04 03:14:49,-22.67,167.48,73.24,90,100,13.02
111,Nacimiento,CL,2020-11-04 03:21:21,-37.5,-72.67,57.34,57,67,1.48
112,Chuy,UY,2020-11-04 03:14:46,-33.7,-53.46,54.73,82,0,7.74
113,Makakilo City,US,2020-11-04 03:15:07,21.35,-158.09,86.0,62,20,6.93
114,Alta Floresta,BR,2020-11-04 03:21:21,-9.88,-56.09,74.19,80,42,0.45
